瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,概固,概固,概固,概固,概固,概固,概固,概固,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,倔澜,倔澜,倔澜,倔澜,传,传,传,传,包汲,包汲,包汲,包汲,碍窍玫,碍窍玫,碍窍玫,碍窍玫,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤
荐盔,2015,2015-04-18,-1老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—, , , , , , ,2015-04-04,0老, , , , , , ,2015-07-04,4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2015-09-02,3老,2015-09-10,-7老,2015-03-16,-4老,2015-03-30,-7老,2015-04-07,-3老,2015-03-19,-2老,2015-03-25,-5老,2015-03-31,-3老,2015-03-21,-1老,2015-04-01,1老,2015-04-04,0老,2015-03-22,-7老,2015-04-04,-4老,2015-04-09,-2老,2015-04-30,11老,2015-05-09,-4老,2015-05-12,-3老,2015-03-27,-5老,2015-04-11,-3老,2015-04-16,-1老,2015-03-25,-7老,2015-04-10,-5老,2015-04-15,-3老,2015-10-20,-2老,2015-11-09,8老, , , , , , ,2015-10-15,-6老,2015-11-09,7老, , , , , , ,2015-10-31,3老,2016-03-28,-9老,2015-10-31,-1老,2016-03-27,-6老,2015-11-25,4老,2016-02-29,-14老,2015-11-26,-9老,2016-02-29,-2老,搬螟,—,搬螟,—, , , , , , , , , , , , ,2015-04-03,-4老,2015-04-09, 
荐盔,2016,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-05-19,26老, , , , , , ,2016-04-06,2老, , , , , , ,2016-07-06,6老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,包螟 救凳,—, , , , , , ,2016-07-18,3老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2016-09-05,6老,2016-09-20,3老,2016-03-10,-10老,2016-03-23,-14老,2016-03-27,-14老,2016-03-22,1老,2016-03-27,-3老,2016-03-31,-3老,2016-03-23,1老,2016-03-29,-2老,2016-04-02,-2老,2016-03-25,-4老,2016-04-02,-6老,2016-04-06,-5老,2016-04-15,-4老,2016-05-06,-7老,2016-05-09,-6老,2016-03-27,-5老,2016-04-07,-7老,2016-04-10,-7老,2016-03-27,-5老,2016-04-08,-7老,2016-04-11,-7老,2016-10-28,6老,2016-11-03,2老, , , , , , ,2016-10-22,1老,2016-10-30,-3老, , , , , , ,2016-10-30,2老,2017-04-13,7老,2016-10-30,-2老,2017-04-02,0老,2016-11-26,5老,2017-03-08,-6老,2016-12-23,18老,2017-01-30,-31老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2016-04-04,-3老,2016-04-06, 
荐盔,2017,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-05-20,27老, , , , , , ,2017-04-16,12老, , , , , , ,2017-07-09,9老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2017-05-16,-1老, , , , , , ,2017-07-21,6老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2017-09-07,8老,2017-09-21,4老,2017-03-07,-13老,2017-03-23,-14老,2017-03-29,-12老,2017-03-21,0老,2017-03-30,0老,2017-04-06,3老,2017-03-20,-2老,2017-04-01,1老,2017-04-06,2老,2017-03-22,-7老,2017-04-08,0老,2017-04-10,-1老,2017-04-18,-1老,2017-05-06,-7老,2017-05-10,-5老,2017-03-24,-8老,2017-04-14,0老,2017-04-16,-1老,2017-03-24,-8老,2017-04-13,-2老,2017-04-15,-3老,2017-10-27,5老,2017-11-02,1老, , , , , , ,2017-10-24,3老,2017-10-31,-2老, , , , , , ,2017-10-30,2老,2018-04-18,12老,2017-10-30,-2老,2018-03-23,-10老,2017-11-23,2老,2018-03-21,7老,2017-11-23,-12老,2018-03-21,19老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2017-04-07,0老,2017-04-10, 
荐盔,2018,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-04-25,2老, , , , , , ,2018-03-30,-5老, , , , , , ,2018-06-21,-9老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,包螟 救凳,—, , , , , , ,2018-07-16,1老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2018-09-11,12老,2018-09-24,7老,2018-03-12,-8老,2018-03-30,-7老,2018-04-02,-8老,2018-03-22,1老,2018-03-27,-3老,2018-03-31,-3老,2018-03-17,-5老,2018-03-30,-1老,2018-04-01,-3老,2018-03-22,-7老,2018-04-02,-6老,2018-04-03,-8老,2018-04-07,-12老,2018-05-08,-5老,2018-05-11,-4老,2018-03-23,-9老,2018-04-11,-3老,2018-04-16,-1老,2018-03-23,-9老,2018-04-04,-11老,2018-04-10,-8老,2018-10-22,0老,2018-10-28,-4老, , , , , , ,2018-10-21,0老,2018-10-28,-5老, , , , , , ,2018-10-12,-16老,2019-04-15,9老,2018-10-30,-2老,2019-04-15,13老,2018-11-24,3老,2019-03-30,16老,2018-11-24,-11老,2019-02-20,-10老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2018-04-02,-5老,2018-04-03, 
荐盔,2019,包螟 救凳,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-04-22,-1老, , , , , , ,2019-04-18,14老, , , , , , ,2019-06-04,-26老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,包螟 救凳,—, , , , , , ,2019-07-22,7老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2019-09-12,13老,2019-09-19,2老,2019-03-04,-16老,2019-03-13,-24老,2019-03-22,-19老,2019-03-18,-3老,2019-03-28,-2老,2019-03-31,-3老,2019-03-16,-6老,2019-04-03,3老,2019-04-07,3老,2019-03-23,-6老,2019-04-07,-1老,2019-04-10,-1老,2019-04-20,1老,2019-05-13,0老,2019-05-16,1老,2019-03-31,-1老,2019-04-13,-1老,2019-04-16,-1老,2019-03-31,-1老,2019-04-13,-2老,2019-04-16,-2老,2019-10-20,-2老,2019-11-01,0老, , , , , , ,2019-10-18,-3老,2019-10-29,-4老, , , , , , ,2019-10-27,-1老,2020-04-24,18老,2019-11-08,7老,2020-03-29,-4老,2019-11-18,-3老,2020-03-04,-10老,2019-12-03,-2老,2020-02-18,-13老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2019-04-05,-2老,2019-04-10, 
荐盔,2020,2020-04-22,3老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2020-05-02,9老, , , , , , ,2020-03-31,-4老, , , , , , ,2020-07-04,4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2020-05-15,-2老, , , , , , ,2020-07-25,10老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2020-09-06,7老,2020-09-19,2老,2020-02-28,-21老,2020-03-16,-21老,2020-03-26,-15老,2020-03-13,-8老,2020-03-22,-8老,2020-03-26,-8老,2020-03-05,-17老,2020-03-20,-11老,2020-03-29,-6老,2020-03-26,-3老,2020-03-31,-8老,2020-04-05,-6老,2020-04-14,-5老,2020-05-11,-2老,2020-05-16,1老,2020-03-29,-3老,2020-04-07,-7老,2020-04-11,-6老,2020-03-22,-10老,2020-04-07,-8老,2020-04-11,-7老,2020-10-26,4老,2020-11-09,8老, , , , , , ,2020-10-23,2老,2020-11-09,7老, , , , , , ,2020-10-24,-4老,2021-04-11,5老,2020-10-29,-3老,2021-03-30,-3老,2020-11-29,8老,2021-03-02,-12老,2020-12-13,8老,2021-02-17,-13老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2020-03-30,-8老,2020-04-03, 
荐盔,2021,2021-05-11,22老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-04-26,3老, , , , , , ,2021-04-11,7老, , , , , , ,2021-07-08,8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2021-05-20,3老, , , , , , ,2021-07-12,-3老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2021-09-09,10老,2021-09-21,4老,2021-02-25,-23老,2021-03-14,-23老,2021-03-19,-22老,2021-03-11,-10老,2021-03-22,-8老,2021-03-25,-9老,2021-03-11,-11老,2021-03-23,-8老,2021-03-26,-9老,2021-03-24,-5老,2021-03-29,-10老,2021-03-31,-11老,2021-04-09,-10老,2021-05-04,-9老,2021-05-09,-6老,2021-03-31,-1老,2021-04-05,-9老,2021-04-12,-5老,2021-03-28,-4老,2021-04-05,-10老,2021-04-08,-10老,2021-10-30,8老,2021-11-05,4老, , , , , , ,2021-10-26,5老,2021-11-03,1老, , , , , , ,2021-10-18,-10老,2022-04-08,2老,2021-11-10,9老,2022-04-03,1老,2021-11-10,-11老,2022-03-19,5老,2021-12-18,13老,2022-03-19,17老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2021-03-29,-9老,2021-04-01, 
荐盔,2022,2022-04-29,10老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-04-27,4老, , , , , , ,2022-03-29,-6老, , , , , , ,2022-07-06,6老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2022-05-19,2老, , , , , , ,2022-07-09,-6老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2022-09-14,15老,2022-09-28,11老,2022-03-01,-19老,2022-03-26,-11老,2022-03-31,-10老,2022-03-20,-1老,2022-03-31,1老,2022-04-04,1老,2022-03-20,-2老,2022-03-30,-1老,2022-04-02,-2老,2022-03-30,1老,2022-04-11,3老,2022-04-12,1老,2022-04-15,-4老,2022-05-05,-8老,2022-05-11,-4老,2022-04-09,8老,2022-04-15,1老,2022-04-19,2老,2022-04-03,2老,2022-04-11,-4老,2022-04-13,-5老,2022-10-26,4老,2022-11-02,1老, , , , , , ,2022-10-23,2老,2022-11-05,3老, , , , , , ,2022-10-19,-9老,2023-04-12,6老,2022-10-19,-13老,2023-04-08,6老,2022-12-03,12老,2023-02-16,-26老,2022-12-03,-2老,2023-02-16,-14老, , , , , , , , , , , , , , , , ,2022-04-06,-1老,2022-04-10, 
荐盔,2023,2023-05-08,19老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-04-30,7老, , , , , , ,2023-03-30,-5老, , , , , , ,2023-06-27,-3老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2023-05-13,-4老, , , , , , ,2023-07-08,-7老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , ,2023-09-08,9老,2023-09-21,4老,2023-03-01,-19老,2023-03-10,-27老,2023-03-19,-22老,2023-03-17,-4老,2023-03-21,-9老,2023-03-27,-7老,2023-03-19,-3老,2023-03-24,-7老,2023-03-30,-5老,2023-03-25,-4老,2023-03-30,-9老,2023-04-01,-10老,2023-04-04,-15老,2023-05-03,-10老,2023-05-07,-8老,2023-04-03,2老,2023-04-09,-5老,2023-04-15,-2老,2023-03-25,-7老,2023-04-03,-12老,2023-04-05,-13老,2023-10-27,5老,2023-11-04,3老, , , , , , ,2023-10-28,7老,2023-11-18,16老, , , , , , ,2023-11-08,11老,2024-03-31,-6老,2023-11-08,7老,2024-03-21,-12老,2023-11-17,-4老,2024-03-02,-12老,2023-11-17,-18老,2024-02-25,-6老,包螟 救凳,—,包螟 救凳,—, , , , , , , , , , , , ,2023-03-25,-13老,2023-03-29, 
荐盔,2024,2024-05-18,29老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-04-14,-9老, , , , , , ,2024-03-27,-8老, , , , , , ,2024-06-23,-7老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , ,2024-05-17,0老, , , , , , ,2024-07-05,-10老,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , ,2024-02-18,-31老,2024-03-24,-13老,2024-03-30,-11老,2024-03-15,-6老,2024-03-27,-3老,2024-03-31,-3老,2024-03-15,-7老,2024-03-27,-4老,2024-03-31,-4老,2024-03-31,2老,2024-04-03,-5老,2024-04-10,-1老,2024-04-08,-11老,2024-04-30,-13老,2024-05-03,-12老,2024-04-06,5老,2024-04-11,-3老,2024-04-13,-4老,2024-04-03,2老,2024-04-08,-7老,2024-04-11,-7老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2024-04-01, 
剧乞,2005, , , , , , , , ,2005-04-23,-6老, , , , , , ,2005-05-04,13老, , , , , , ,2005-04-11,6老, , , , , , ,2005-06-21,-10老, , , , , , , , , , , , , , , , , , ,2005-05-16,-4老, , , , , , ,2005-06-28,-6老,2005-09-16,-7老,2005-02-10, , , , , , , , , ,2005-07-12,-25老, , ,2005-03-25,-1老,2005-04-11,2老, , ,2005-03-28,6老,2005-04-08,7老, , ,2005-03-31,6老,2005-04-12,8老, , ,2005-04-09,7老,2005-04-22,8老, , ,2005-04-18,3老,2005-05-14,4老, , ,2005-04-02,1老,2005-04-16,3老, , ,2005-04-01,-1老,2005-04-20,4老, , ,2005-10-21,3老,2005-10-29,2老, , , , , , ,2005-10-20,3老,2005-10-28,2老, , , , , , ,2005-10-22,1老,2006-04-03,-14老,2005-10-23,0老,2006-03-31,-12老,2005-11-21,-4老,2006-04-17,28老,2005-12-03,6老,2006-04-20,28老,2005-12-20,-13老,2006-02-09,-5老, , , , , , , , , , , , , , , , 
剧乞,2006, , , , , , , , ,2006-04-19,-10老, , , , , , ,2006-05-05,14老, , , , , , ,2006-03-08,-28老, , , , , , ,2006-07-01,0老, , , , , , , , , , , , , , , , , , ,2006-05-05,-15老, , , , , , ,2006-06-29,-5老,2006-09-22,-1老,2006-10-25, , , , , , , , , ,2006-07-04,-33老, , ,2006-03-23,-3老,2006-04-10,1老, , ,2006-03-24,2老,2006-04-03,2老, , ,2006-03-25,0老,2006-04-05,1老, , ,2006-04-06,4老,2006-04-19,5老, , ,2006-04-17,2老,2006-05-14,4老, , ,2006-04-01,0老,2006-04-12,-1老, , ,2006-03-30,-3老,2006-04-17,1老, , ,2006-10-20,2老,2006-10-26,-1老, , , , , , ,2006-10-23,6老,2006-10-29,3老, , , , , , ,2006-11-06,16老,2007-04-09,-8老,2006-11-06,14老,2007-04-09,-3老,2006-11-06,-19老,2007-03-10,-10老,2006-11-06,-21老,2007-03-30,7老,2006-12-30,-3老,2007-02-04,-10老, , , , , , , , , , , , , , , , 
剧乞,2007, , , , , , , , ,2007-04-18,-11老, , , , , , ,2007-05-02,11老, , , , , , ,2007-04-11,6老, , , , , , ,2007-06-24,-7老, , , , , , , , , , , , , , , , , , ,2007-05-20,0老, , , , , , ,2007-06-30,-4老,2007-09-19,-4老, , , , , , , , , , ,2007-07-03,-34老, , ,2007-03-14,-12老,2007-04-01,-8老, , ,2007-03-20,-2老,2007-03-29,-3老, , ,2007-03-23,-2老,2007-04-05,1老, , ,2007-04-02,0老,2007-04-17,3老, , ,2007-04-16,1老,2007-05-14,4老, , ,2007-03-28,-4老,2007-04-11,-2老, , ,2007-03-29,-4老,2007-04-19,3老, , ,2007-10-23,5老,2007-10-30,3老, , , , , , ,2007-10-24,7老,2007-10-31,5老, , , , , , ,2007-10-21,0老,2008-04-05,-12老,2007-10-21,-2老,2008-04-04,-8老,2007-11-19,-6老,2008-03-06,-14老,2007-11-19,-8老,2008-03-06,-17老,2008-01-18,16老,2008-02-18,4老, , , , , , , , , , , , , , , , 
剧乞,2008,2008-06-03,38老, , , , , , ,2008-04-24,-5老, , , , , , ,2008-04-30,9老, , , , , , ,2008-04-14,9老, , , , , , ,2008-07-01,0老, , , , , , , , , , , , , , , , , , ,2008-05-24,4老, , , , , , ,2008-07-01,-3老,2008-09-16,-7老, , , , , , , , , , ,2008-07-08,-29老, , ,2008-03-20,-6老,2008-04-05,-4老, , ,2008-03-17,-5老,2008-03-30,-2老, , ,2008-03-27,2老,2008-04-07,3老, , ,2008-04-03,1老,2008-04-15,1老, , ,2008-04-14,-1老,2008-05-09,-1老, , ,2008-04-01,0老,2008-04-11,-2老, , ,2008-03-31,-2老,2008-04-15,-1老, , ,2008-10-22,4老,2008-10-29,2老, , , , , , ,2008-10-26,9老,2008-11-03,8老, , , , , , ,2008-10-28,7老, , ,2008-11-04,12老, , ,2008-11-20,-5老, , , , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2005, , , , , , , , ,2005-04-26,-8老, , , , , , ,2005-04-23,-3老, , , , , , ,2005-04-11,6老, , , , , , ,2005-07-12,23老, , , , , , , , , , , , , , , , , , ,2005-04-20,-18老, , , , , , ,2005-07-13,-3老,2005-09-10,-3老,2005-05-20, , , , , , , , , ,2005-09-05,16老, , ,2005-03-27,-2老,2005-04-07,-3老, , ,2005-03-20,-3老,2005-04-09,7老, , ,2005-03-18,-6老,2005-04-11,6老, , ,2005-03-25,-3老,2005-04-08,0老, , ,2005-04-15,0老,2005-05-10,-2老, , ,2005-03-24,-6老,2005-04-13,-1老, , ,2005-03-26,-5老,2005-04-17,2老, , ,2005-10-20,4老,2005-10-27,1老, , , , , , ,2005-10-21,2老,2005-10-28,1老, , , , , , ,2005-10-22,2老,2006-04-06,-8老,2005-10-22,-3老,2006-04-06,-4老,2005-11-21,1老,2006-03-15,-2老, , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2006,2006-04-03,-29老,2006-10-10,9老, , , , ,2006-04-23,-11老, , , , , , ,2006-04-19,-7老, , , , , , ,2006-04-17,12老, , , , , , ,2006-07-02,13老, , , , , , , , , , , , , , , , , , ,2006-04-26,-12老, , , , , , ,2006-07-20,4老,2006-08-22,-22老,2006-04-18, , , , , , , , , ,2006-07-29,-22老,2006-09-15, ,2006-03-26,-3老,2006-04-09,-1老,2006-04-14, ,2006-03-19,-4老,2006-03-29,-4老,2006-04-04, ,2006-03-17,-7老,2006-04-06,1老,2006-04-11, ,2006-03-24,-4老,2006-04-07,-1老,2006-04-11, ,2006-04-17,2老,2006-05-11,-1老,2006-05-17, ,2006-03-22,-8老,2006-04-14,0老,2006-04-19, ,2006-03-25,-6老,2006-04-15,0老,2006-04-20, ,2006-10-18,2老,2006-10-26,0老, , , , , , ,2006-10-22,3老,2006-10-29,2老, , , , , , ,2006-11-07,18老,2007-04-09,-5老,2006-11-07,13老,2007-04-09,-1老,2006-11-06,-14老,2007-03-07,-10老, , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2007, , , , , , , , ,2007-04-29,-5老, , , , , , ,2007-04-04,-22老, , , , , , ,2007-03-23,-13老, , , , , , ,2007-06-04,-15老, , , , , , , , , , , , , , ,2007-04-27, , , ,2007-04-27,-11老, , , , , , ,2007-07-18,2老,2007-09-17,4老,2007-04-25, , , , , , , , , ,2007-07-30,-21老, , ,2007-03-20,-9老,2007-04-02,-8老, , ,2007-03-11,-12老,2007-03-30,-3老, , ,2007-03-12,-12老,2007-03-31,-5老, , ,2007-03-18,-10老,2007-04-01,-7老, , ,2007-04-13,-2老,2007-05-12,0老, , ,2007-03-17,-13老,2007-04-02,-12老, , ,2007-03-19,-12老,2007-04-03,-12老, , ,2007-10-17,1老,2007-10-25,-1老, , , , , , ,2007-10-21,2老,2007-10-26,-1老, , , , , , ,2007-10-21,1老,2008-04-05,-9老,2007-10-21,-4老,2008-04-04,-6老,2007-11-19,-1老,2008-03-06,-11老, , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2008,包螟 救凳,—,包螟 救凳,—, , , , ,2008-05-01,-3老, , , , , , ,2008-04-29,3老, , , , , , ,2008-03-19,-17老, , , , , , ,2008-06-29,10老, , , , , , , , , , ,包螟 救凳,—, , ,2008-05-22, , , ,2008-04-29,-9老, , , , , , ,2008-07-03,-13老,2008-09-20,7老,包螟 救凳,—, , , , , , , , ,2008-08-25,5老, , ,2008-03-16,-13老,2008-04-10,0老, , ,2008-03-10,-13老,2008-03-31,-2老, , ,2008-03-10,-14老,2008-04-03,-2老, , ,2008-03-18,-10老,2008-04-05,-3老, , ,2008-04-18,3老,2008-05-06,-6老, , ,2008-03-15,-15老,2008-04-04,-10老, , ,2008-03-18,-13老,2008-04-06,-9老, , ,2008-10-20,4老,2008-10-27,1老, , , , , , ,2008-10-23,4老,2008-10-28,1老, , , , , , ,2008-10-27,7老,2009-04-17,3老,2008-10-28,3老,2009-04-05,-5老,2008-11-20,0老,2009-03-26,9老, , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2009,包螟 救凳,—,包螟 救凳,—, , , , ,包螟 救凳,—, , , , , , ,2009-04-27,1老, , , , , , ,2009-03-23,-13老, , , , , , ,2009-07-19,30老, , , , , , , , , , ,2009-04-16, , , , , , , ,2009-05-15,7老, , , , , , ,2009-07-21,5老,2009-09-17,4老,包螟 救凳,—, , , , , , , , ,2009-08-02,-18老, , ,2009-03-18,-11老,2009-04-05,-5老, , ,2009-03-18,-5老,2009-03-23,-10老, , ,2009-03-20,-4老,2009-03-29,-7老, , ,2009-03-27,-1老,2009-04-02,-6老, , ,2009-04-14,-1老,2009-05-10,-2老, , ,2009-04-01,2老,2009-04-11,-3老, , ,2009-04-01,1老,2009-04-11,-4老, , ,2009-10-19,3老,2009-10-26,0老, , , , , , ,2009-10-20,1老,2009-10-28,1老, , , , , , ,2009-11-03,14老,2010-04-16,2老,2009-11-02,8老,2010-04-17,7老,2009-11-19,-1老,2010-04-13,27老, , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2010,包螟 救凳,—,包螟 救凳,—, , , , ,2010-05-27,23老, , , , , , ,2010-05-05,9老, , , , , , ,2010-04-05,0老, , , , , , ,2010-06-29,10老, , , , , , , , , , ,2010-03-24, , , , , , , ,2010-05-06,-2老, , , , , , ,2010-07-13,-3老,2010-09-10,-3老,包螟 救凳,—, , , , , , , , ,2010-08-09,-11老, , ,2010-04-07,9老,2010-04-16,6老, , ,2010-03-30,7老,2010-04-08,6老, , ,2010-03-30,6老,2010-04-09,4老, , ,2010-04-08,11老,2010-04-15,7老, , ,2010-05-01,16老,2010-05-21,9老, , ,2010-04-09,10老,2010-04-20,6老, , ,2010-04-09,9老,2010-04-20,5老, , ,2010-10-19,3老,2010-10-28,2老, , , , , , ,2010-10-20,1老,2010-10-28,1老, , , , , , ,2010-10-26,6老,2011-04-13,-1老,2010-10-26,1老,2011-04-13,3老,2010-11-08,-12老,2011-03-24,7老, , , , , , , , , , , , , , , , , , , , , , , , 
捞玫,2011,2011-04-28,-4老,包螟 救凳,—, , , , ,2011-04-05,-29老, , , , , , ,2011-04-25,-1老, , , , , , ,2011-04-21,16老, , , , , , ,2011-05-30,-20老, , , , , , , , , , ,2011-04-22, , , , , , , ,2011-05-16,8老, , , , , , ,2011-07-20,4老,2011-09-17,4老,包螟 救凳,—,包螟 救凳,—, , , , , , ,2011-08-26,6老, , ,2011-04-06,8老,2011-04-19,9老, , ,2011-04-01,9老,2011-04-07,5老, , ,2011-04-05,12老,2011-04-11,6老, , ,2011-04-05,8老,2011-04-15,7老, , ,2011-04-21,6老,2011-05-19,7老, , ,2011-04-06,7老,2011-04-24,10老, , ,2011-04-05,5老,2011-04-19,4老, , ,2011-10-17,1老,2011-10-24,-2老, , , , , , ,2011-10-18,-1老,2011-10-24,-3老, , , , , , ,2011-10-02,-18老,2012-04-06,-8老,2011-10-18,-7老,2012-04-06,-4老,2011-11-22,2老,2012-04-03,17老, , , , , , , , , , , , , , , , , , , , , , , , 
